Date,Close/Last,Volume,Open,High,Low
01/29/2021,$121.52 ,15169180,$124 ,$124.36 ,$120.55 
01/28/2021,$125.83 ,14148050,$124.50 ,$127.58 ,$123.58 
01/27/2021,$121.74 ,16732720,$124.95 ,$125.10 ,$121.50 
01/26/2021,$126.65 ,17084610,$129.05 ,$129.32 ,$126.25 
01/25/2021,$130.52 ,20469350,$131.83 ,$132.17 ,$127.35 
01/22/2021,$129.14 ,19163230,$130.04 ,$131.25 ,$128.81 
01/21/2021,$134.16 ,15609870,$133.25 ,$135.40 ,$132.34 
01/20/2021,$130.64 ,17360740,$135.19 ,$136.13 ,$130.10 
01/19/2021,$131.30 ,20443820,$130.59 ,$134.05 ,$128.44 
01/15/2021,$125.23 ,17343060,$128.47 ,$128.54 ,$123.21 
01/14/2021,$126.45 ,37125420,$123.45 ,$134.65 ,$121.67 
01/13/2021,$119.23 ,20650480,$124.40 ,$124.80 ,$118 
01/12/2021,$123 ,14163170,$125.16 ,$125.20 ,$121.68 
01/11/2021,$122.60 ,12032650,$119.74 ,$123.60 ,$118.80 
01/08/2021,$118.69 ,18976770,$125.91 ,$126.29 ,$116.98 
01/07/2021,$121.43 ,13556090,$119.34 ,$122.94 ,$117.59 
01/06/2021,$115.61 ,10609280,$113.85 ,$116.39 ,$112.55 
01/05/2021,$112.77 ,10583570,$112.41 ,$114.95 ,$112.01 
01/04/2021,$111.70 ,11262140,$111.47 ,$114.10 ,$110.45 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
